구분,상품명,금융회사,상품유형,최초판매일,판매여부,중도해지,납입원금_24년4분기,적립금_24년4분기,수익률_24년4분기,적립률_24년4분기,공시이율_24년4분기,납입원금_24년,적립금_24년,수익률_24년,적립률_24년,공시이율_24년,장기수익율_3년,장기수익율_5년,장기수익율_7년,장기수익율_10년,장기수수료율_3년,장기수수료율_5년,장기수수료율_7년,장기수수료율_10년
연금저축생명보험,연금저축삼성에이스골드연금보험(B1.7),삼성생명보험,금리연동형,2014-04-01,중단,불가능,114282,126938,2.63,0,0,114282,126938,2.63,0,0,2.6,2.19,1.86,0.84,0.61,0.77,0.98,1.89
연금저축생명보험,연금저축 골드연금보험(일반용),삼성생명보험,금리연동형,2010-01-01,중단,불가능,97039,122775,3.44,0,0,97039,122775,3.44,0,0,3.33,3.01,2.74,2.45,0.25,0.27,0.44,0.68
연금저축생명보험,연금저축 참알찬연금보험Ⅲ,신한라이프생명보험,금리연동형,2009-12-31,중단,불가능,185163,122136,1.63,0,0,185163,122136,1.63,0,0,1.69,1.64,1.61,1.5,0.14,0.2,0.32,0.67
연금저축생명보험,세테크NH연금저축보험_1904,농협생명보험,금리연동형,2019-04-01,중단,불가능,120799,121134,1.26,0,0,120799,121134,1.26,0,0,0.75,-0.89,0,0,1.59,3.01,0,0
연금저축생명보험,연금저축교보First연금보험,교보생명보험,금리연동형,2013-04-01,중단,불가능,108852,120587,2.83,0,0,108852,120587,2.83,0,0,2.56,2.14,1.87,1.26,0.38,0.79,0.8,1.39
연금저축생명보험,연금저축 하이드림Free연금보험Ⅱ,한화생명보험,금리연동형,2011-06-01,중단,불가능,106388,120160,3.71,0,0,106388,120160,3.71,0,0,4.78,4.47,3.75,2.37,0.24,0.32,0.46,0.83
연금저축생명보험,연금저축삼성에이스골드연금보험B1.1,삼성생명보험,금리연동형,2010-01-01,중단,불가능,92494,119785,3.55,0,0,92494,119785,3.55,0,0,3.43,3.1,2.89,2.52,0.21,0.22,0.32,0.65
연금저축생명보험,연금저축 하이드림Free연금보험,한화생명보험,금리연동형,2006-02-01,중단,불가능,75844,119032,4.59,0,0,75844,119032,4.59,0,0,5.27,5.49,5.79,6.1,0.31,0.31,0.31,0.36
연금저축생명보험,연금저축골드연금보험1.1(일반용),삼성생명보험,금리연동형,2012-04-02,중단,불가능,95488,110821,3.14,0,0,95488,110821,3.14,0,0,2.85,2.5,2.25,1.84,0.29,0.5,0.68,1.06
연금저축생명보험,연금저축 세테크플랜 연금보험,신한라이프생명보험,금리연동형,2010-09-13,중단,불가능,169625,109872,1.52,0,0,169625,109872,1.52,0,0,1.68,1.44,1.35,1.21,0.13,0.27,0.43,0.72
연금저축생명보험,연금저축 대한하이드림연금보험,한화생명보험,금리연동형,2004-07-01,중단,불가능,65804,109274,4.53,0,0,65804,109274,4.53,0,0,5.17,5.16,5.48,6.67,0.27,0.26,0.27,0.27
연금저축생명보험,연금저축교보First연금보험,교보생명보험,금리연동형,2018-01-01,중단,불가능,107396,108505,1.41,0,0,107396,108505,1.41,0,0,1.21,0.58,-5.5,0,1.15,2.47,5.23,0
연금저축생명보험,연금저축골드연금보험1.4無(일반용),삼성생명보험,금리연동형,2016-04-01,중단,불가능,103877,107731,1.94,0,0,103877,107731,1.94,0,0,1.62,1.22,0.77,0,0.95,1.22,1.74,0
연금저축생명보험,연금저축골드연금보험2.2(일반용),삼성생명보험,금리연동형,2018-01-01,중단,불가능,106262,105073,1.2,0,0,106262,105073,1.2,0,0,0.97,0.15,-6.6,0,1.66,2.27,7.23,0
연금저축생명보험,세테크NH연금저축보험_1801,농협생명보험,금리연동형,2018-01-02,중단,불가능,102128,104168,1.59,0,0,102128,104168,1.59,0,0,1.29,0.73,-3.16,0,1.09,1.51,4.63,0
연금저축생명보험,세테크NH연금저축보험(무배당),농협생명보험,금리연동형,2020-02-17,중단,불가능,102696,102546,1.09,0,0,102696,102546,1.09,0,0,0.44,0,0,0,1.95,0,0,0
연금저축생명보험,한화생명 연금저축하이드림연금보험,한화생명보험,금리연동형,2018-04-01,중단,불가능,108891,102526,0.37,0,0,108891,102526,0.37,0,0,-0.08,-1.38,0,0,1.75,2.57,0,0
연금저축생명보험,연금저축교보First연금보험,교보생명보험,금리연동형,2014-04-01,중단,불가능,94044,102272,2.59,0,0,94044,102272,2.59,0,0,2.31,1.91,1.66,0.82,0.67,0.93,0.96,1.82
연금저축생명보험,연금저축삼성에이스골드연금보험B1.4,삼성생명보험,금리연동형,2012-07-02,중단,불가능,85050,99720,3.22,0,0,85050,99720,3.22,0,0,2.92,2.62,2.31,1.78,0.27,0.39,0.69,1.18
연금저축생명보험,연금저축 하이드림Free연금보험Ⅱ,한화생명보험,금리연동형,2012-01-01,중단,불가능,89748,98051,2.68,0,0,89748,98051,2.68,0,0,3.75,3.2,2.71,1.59,0.25,0.37,0.56,1.01
연금저축생명보험,연금저축골드연금보험2.5(일반용),삼성생명보험,금리연동형,2019-04-01,중단,불가능,98803,95957,0.7,0,0,98803,95957,0.7,0,0,0.13,-2.51,0,0,2.37,4.63,0,0
연금저축생명보험,연금저축수호천사한아름연금1형(확정연금형),동양생명보험,금리연동형,2006-03-02,중단,불가능,83024,94382,2.71,0,0,83024,94382,2.71,0,0,2.59,2.56,2.74,2.74,0.16,0.17,0.18,0.3
연금저축생명보험,연금저축흥국드림테크연금보험,흥국생명보험,금리연동형,2004-07-20,중단,불가능,48255,93118,4.76,0,0,48255,93118,4.76,0,0,4.19,3.69,3.53,3.46,0.09,0.09,0.1,0.11
연금저축생명보험,연금저축 마이플랜 연금보험,푸본현대생명보험,금리연동형,2009-10-01,중단,불가능,71873,91081,2.7,0,0,71873,91081,2.7,0,0,2.46,2.27,2.27,2.16,0.23,0.32,0.47,0.69
연금저축생명보험,연금저축교보First연금보험,교보생명보험,금리연동형,2016-01-01,중단,불가능,86492,90402,2.07,0,0,86492,90402,2.07,0,0,1.86,1.44,1.03,0,0.83,1.22,1.35,0
연금저축생명보험,연금저축 IBK연금보험_V2,아이비케이연금보험 ,금리연동형,2011-04-01,중단,불가능,75437,89976,2.6,0,0,75437,89976,2.6,0,0,2.59,2.52,2.36,1.92,0.26,0.33,0.47,0.86
연금저축생명보험,연금저축삼성골드연금보험(B1.3),삼성생명보험,금리연동형,2009-02-02,중단,불가능,64608,88190,3.52,0,0,64608,88190,3.52,0,0,3.64,3.27,3.1,2.8,0.21,0.22,0.27,0.51
연금저축생명보험,한화생명 연금저축스마트하이드림연금보험,한화생명보험,금리연동형,2016-04-01,중단,불가능,85553,86883,1.77,0,0,85553,86883,1.77,0,0,2.21,1.97,0.52,0,0.72,0.93,1.33,0
연금저축생명보험,연금저축골드연금보험B1.4無,삼성생명보험,금리연동형,2016-04-01,중단,불가능,79818,85093,2.22,0,0,79818,85093,2.22,0,0,1.95,1.58,1.23,0,0.69,0.92,1.33,0
연금저축생명보험,연금저축 하이드림Free연금보험,한화생명보험,금리연동형,2009-05-11,중단,불가능,65957,84397,3.96,0,0,65957,84397,3.96,0,0,4.15,4.27,4.62,3.89,0.25,0.25,0.31,0.47
연금저축생명보험,연금저축골드연금보험1.6(일반용),삼성생명보험,금리연동형,2015-01-02,중단,불가능,75977,79385,2.04,0,0,75977,79385,2.04,0,0,2.01,1.56,1.17,-3.59,0.91,1.14,1.47,5.04
연금저축생명보험,한화생명 연금저축하이드림연금보험,한화생명보험,금리연동형,2017-04-08,중단,불가능,82830,78516,1.15,0,0,82830,78516,1.15,0,0,0.69,-0.16,-2.45,0,1.32,1.74,3.09,0
연금저축생명보험,연금저축흥국드림테크연금보험Ⅲ,흥국생명보험,금리연동형,2005-12-05,중단,불가능,40287,77741,4.78,0,0,40287,77741,4.78,0,0,4.19,3.68,3.5,3.35,0.04,0.04,0.05,0.11
연금저축생명보험,연금저축골드연금보험1.1無(일반용),삼성생명보험,금리연동형,2015-04-01,중단,불가능,72125,76406,2.15,0,0,72125,76406,2.15,0,0,1.94,1.56,1.32,0,0.79,0.99,1.29,0
연금저축생명보험,연금저축골드연금보험1.3無(일반용),삼성생명보험,금리연동형,2016-01-02,중단,불가능,72978,76233,2.09,0,0,72978,76233,2.09,0,0,1.8,1.38,1.01,0,0.89,1.14,1.57,0
연금저축생명보험,연금저축 행복&amp;하이드림연금보험,한화생명보험,금리연동형,2012-11-19,중단,불가능,70796,75942,2.39,0,0,70796,75942,2.39,0,0,2.13,1.7,1.34,0.91,0.4,0.59,0.79,1.26
연금저축생명보험,연금저축 참알찬연금보험Ⅱ,신한라이프생명보험,금리연동형,2006-04-03,중단,불가능,102820,75474,1.83,0,0,102820,75474,1.83,0,0,1.87,1.81,1.91,1.99,0.12,0.14,0.17,0.31
연금저축생명보험,연금저축KB프라임연금보험,KB라이프생명보험,금리연동형,2006-01-04,중단,불가능,49111,74176,4.1,0,0,49111,74176,4.1,0,0,3.53,3.17,3.1,2.95,0.22,0.22,0.23,0.27
연금저축생명보험,연금저축삼성골드연금보험1.3,삼성생명보험,금리연동형,2009-05-19,중단,불가능,56065,73780,3.39,0,0,56065,73780,3.39,0,0,3.5,3.16,2.93,2.64,0.23,0.24,0.36,0.58
연금저축생명보험,한화생명 연금저축스마트하이드림연금보험,한화생명보험,금리연동형,2017-04-01,중단,불가능,74060,73762,1.85,0,0,74060,73762,1.85,0,0,2.28,1.08,-1.22,0,0.94,1.24,2.11,0
연금저축생명보험,연금저축 마이플랜 연금보험,푸본현대생명보험,금리연동형,2008-04-21,중단,불가능,53474,73178,3.27,0,0,53474,73178,3.27,0,0,3.04,2.81,2.6,2.52,0.22,0.23,0.3,0.5
연금저축생명보험,무배당 연금저축 IBK연금보험_1604,아이비케이연금보험 ,금리연동형,2016-04-01,중단,불가능,68322,72753,2.33,0,0,68322,72753,2.33,0,0,1.99,1.69,1.26,0,0.7,0.92,1.34,0
연금저축생명보험,연금저축교보First연금보험,교보생명보험,금리연동형,2019-04-01,중단,불가능,73013,72640,1.09,0,0,73013,72640,1.09,0,0,0.68,-0.94,0,0,1.63,8.86,0,0
연금저축생명보험,연금저축골드연금보험B2.4,삼성생명보험,금리연동형,2018-01-01,중단,불가능,71223,72608,1.69,0,0,71223,72608,1.69,0,0,1.51,0.82,-4.16,0,1.21,1.69,5.56,0
연금저축생명보험,연금저축교보연금보험,교보생명보험,금리연동형,2017-01-01,중단,불가능,72254,71624,1.31,0,0,72254,71624,1.31,0,0,0.97,0.41,-0.75,0,1.41,2.36,2.93,0
연금저축생명보험,연금저축 하이드림Free연금보험,한화생명보험,금리연동형,2011-06-01,중단,불가능,62006,71525,3.79,0,0,62006,71525,3.79,0,0,4.64,5.94,4.94,2.79,0.22,0.31,0.42,0.71
연금저축생명보험,연금저축교보First연금보험,교보생명보험,금리연동형,2015-01-01,중단,불가능,67662,71455,2.03,0,0,67662,71455,2.03,0,0,1.96,1.57,1.27,-2.98,0.8,1.07,1.15,3.85
연금저축생명보험,연금저축에이스골드연금보험B1.0,삼성생명보험,금리연동형,2009-10-01,중단,불가능,53293,71107,3.64,0,0,53293,71107,3.64,0,0,3.54,3.22,3.01,2.7,0.21,0.22,0.3,0.58
연금저축생명보험,연금저축 IBK연금보험_V1,아이비케이연금보험 ,금리연동형,2010-10-11,중단,불가능,57524,70205,2.66,0,0,57524,70205,2.66,0,0,2.75,2.61,2.52,2.11,0.27,0.31,0.39,0.73
연금저축생명보험,연금저축 하이드림Free연금보험,한화생명보험,금리연동형,2009-10-01,중단,불가능,55480,69992,4.67,0,0,55480,69992,4.67,0,0,4.24,4.16,4.36,3.77,0.25,0.26,0.32,0.5
연금저축생명보험,연금저축 하이드림Free연금보험,한화생명보험,금리연동형,2006-04-03,중단,불가능,44295,68846,4.52,0,0,44295,68846,4.52,0,0,4.86,5.16,5.52,5.86,0.27,0.27,0.28,0.34
연금저축생명보험,연금저축 대한하이드림연금보험,한화생명보험,금리연동형,2010-01-01,중단,불가능,56694,65849,3.1,0,0,56694,65849,3.1,0,0,3.47,4.42,3.8,2.88,0.25,0.26,0.45,0.68
연금저축생명보험,연금저축삼성골드연금보험(B1.4),삼성생명보험,금리연동형,2009-06-01,중단,불가능,48873,65466,3.46,0,0,48873,65466,3.46,0,0,3.57,3.21,3.03,2.72,0.21,0.22,0.29,0.55
연금저축생명보험,연금저축교보연금보험,교보생명보험,금리연동형,2003-03-10,중단,불가능,49051,65361,3.32,0,0,49051,65361,3.32,0,0,3.18,2.88,2.82,2.79,0.22,0.24,0.24,0.26
연금저축생명보험,연금저축 하이드림Free연금보험,한화생명보험,금리연동형,2010-04-01,중단,불가능,52339,64859,4.23,0,0,52339,64859,4.23,0,0,4.57,5.7,5.11,3.86,0.21,0.24,0.31,0.53
연금저축생명보험,연금저축교보연금보험,교보생명보험,금리연동형,2021-01-01,중단,불가능,67407,64713,-0.87,0,0,67407,64713,-0.87,0,0,-3.27,0,0,0,5.45,0,0,0
연금저축생명보험,"연금저축 SAVE PLUS연금보험1501B,1504B",미래에셋생명보험,금리연동형,2015-01-01,중단,불가능,91976,64353,1.33,0,0,91976,64353,1.33,0,0,1.32,1.16,1.04,-2.44,0.34,0.51,0.79,3.64
연금저축생명보험,연금저축골드연금보험B2.7,삼성생명보험,금리연동형,2019-04-01,중단,불가능,64354,64189,1.27,0,0,64354,64189,1.27,0,0,0.82,-1.17,0,0,1.77,3.42,0,0
연금저축생명보험,한화생명 연금저축하이드림연금보험,한화생명보험,금리연동형,2017-01-01,중단,불가능,66194,63805,1.13,0,0,66194,63805,1.13,0,0,0.95,0.27,-1.29,0,1.2,1.58,2.47,0
연금저축생명보험,무배당 연금저축 IBK연금보험_1704,아이비케이연금보험 ,금리연동형,2017-04-01,중단,불가능,60868,63705,2.12,0,0,60868,63705,2.12,0,0,1.77,1.38,0.47,0,0.88,1.18,2.05,0
연금저축생명보험,한화생명 연금저축스마트하이드림연금보험,한화생명보험,금리연동형,2017-01-01,중단,불가능,63266,63576,1.66,0,0,63266,63576,1.66,0,0,2.31,1.3,-0.31,0,0.86,1.14,1.78,0
연금저축생명보험,연금저축골드연금보험1.2無(일반용),삼성생명보험,금리연동형,2015-09-01,중단,불가능,58870,62189,2.13,0,0,58870,62189,2.13,0,0,1.89,1.51,1.24,0,0.83,1.04,1.36,0
연금저축생명보험,연금저축 하이드림Free연금보험,한화생명보험,금리연동형,2009-02-02,중단,불가능,47477,61842,3.88,0,0,47477,61842,3.88,0,0,4.03,3.93,4.32,3.62,0.25,0.25,0.3,0.45
연금저축생명보험,연금저축 대한하이드림연금보험,한화생명보험,금리연동형,2005-07-01,중단,불가능,37086,61334,5.55,0,0,37086,61334,5.55,0,0,5.58,5.89,5.79,6.22,0.23,0.23,0.23,0.24
연금저축생명보험,한화생명 연금저축스마트하이드림연금보험,한화생명보험,금리연동형,2018-04-01,중단,불가능,62211,61162,1.49,0,0,62211,61162,1.49,0,0,1.71,0.03,0,0,1.18,1.69,0,0
연금저축생명보험,연금저축 참알찬연금보험Ⅱ,신한라이프생명보험,금리연동형,2005-07-01,중단,불가능,86215,60174,1.77,0,0,86215,60174,1.77,0,0,1.83,1.84,1.97,2.16,0.08,0.09,0.1,0.15
연금저축생명보험,연금저축 미래로기업복지연금보험,한화생명보험,금리연동형,2010-04-01,중단,불가능,50496,58889,3.42,0,0,50496,58889,3.42,0,0,3.09,2.77,2.42,2.1,0.24,0.29,0.44,0.67
연금저축생명보험,연금저축수호천사한아름연금1형(종신연금형),동양생명보험,금리연동형,2006-03-02,중단,불가능,45961,58692,3.35,0,0,45961,58692,3.35,0,0,3.44,3.53,3.49,3.33,0.17,0.19,0.19,0.31
연금저축생명보험,연금저축교보연금보험,교보생명보험,금리연동형,2018-01-01,중단,불가능,58918,58404,1.11,0,0,58918,58404,1.11,0,0,0.83,0.08,-6.14,0,1.49,3.18,6.63,0
연금저축생명보험,연금저축삼성에이스골드연금보험B1.3,삼성생명보험,금리연동형,2012-04-02,중단,불가능,49370,58027,3.22,0,0,49370,58027,3.22,0,0,2.93,2.64,2.35,1.84,0.24,0.37,0.63,1.12
